AccNum,LoanType,RateType,RestructureLastSixMonths,Restructure,DaysPastDue,DefaultIndicator,Balance
101442173,AB1,Tracker,0,0,0,0,-57818.01829
101442281,AB1,Tracker,0,1,0,0,-57543.0336
101442473,AB1,Tracker,0,0,0,0,-61627.41224
101442581,AB2,Variable,0,0,0,0,-30314.44877
101442773,AB1,Tracker,0,0,0,0,-78382.35637
101442881,AB1,Tracker,0,0,0,0,-79279.99143
101443073,AB1,Tracker,0,0,0,0,-98256.20557
101443181,AB3,Variable,0,0,0,0,-6931.824149
101443373,AB1,Tracker,0,0,0,0,-66611.36801
101443481,AB1,Tracker,0,0,0,0,-48002.99452
101443673,AB1,Tracker,0,0,0,0,-102898.7084
101443781,AB1,Tracker,0,0,0,0,-43925.58313
101443973,AB1,Tracker,0,0,0,0,-107399.4869
101444081,AB2,Variable,0,1,42,0,-6124.797458
101444273,AB1,Variable,0,0,0,0,-55785.92563
101444381,AB2,Variable,0,0,0,0,-56697.46301
101494389,AB2,Variable,0,0,0,0,-200368.7377
101494689,AB1,Tracker,0,0,0,0,-59666.57107
101494989,AB2,Variable,0,0,0,0,-65180.83619
101495289,AB1,Tracker,0,0,0,0,-145784.8409
101495589,AB2,Fixed,0,0,0,0,-25784.97923
101495889,AB1,Tracker,0,0,0,0,-87674.93601
101496189,AB1,Tracker,0,0,0,0,-84663.88767
101496489,AB2,Tracker,0,0,0,0,-84378.80398
105826665,AB2,Tracker,0,0,0,0,-80465.31143
105826965,AB1,Tracker,1,1,0,0,-144403.4711
105827265,Staff AB2,Tracker,0,0,0,0,-42637.50182
105827565,Staff AB2,Variable,0,0,0,0,-176277.4285
105827865,AB2,Tracker,0,0,0,0,-36874.05688
105828165,AB1,Tracker,0,1,0,0,-200921.1382
105828465,AB2,Tracker,0,0,0,0,-18329.94767
105828765,AB2,Variable,0,0,0,0,-17346.23572
113126939,AB2,Fixed,0,0,0,0,-101645.4655
113127239,AB3,Tracker,0,0,0,0,-65305.44325
113127539,AB2,Variable,0,0,0,0,-83893.07728
113127839,AB2,Tracker,0,0,0,0,-72903.83767
113128139,AB1,Tracker,0,0,0,0,-53067.02716
113128439,Staff AB2,Variable,0,0,0,0,-74241.8633
113128739,AB1,Tracker,0,0,0,0,-127396.7204
113129039,Staff AB1,Variable,0,1,0,0,-92342.61066
113312123,AB2,Tracker,0,0,0,0,-48006.44955
113312423,AB1,Variable,0,0,0,0,-195946.0192
113312723,AB1,Tracker,0,0,0,0,-564123.3743
113313023,AB1,Tracker,0,0,0,0,-120177.5511
113313323,AB1,Tracker,0,0,0,0,-69891.81705
113313623,AB1,Tracker,0,0,0,0,-60046.36607
113313923,AB2,Fixed,0,0,0,0,-227200.1783
113314223,AB1,Tracker,0,1,0,0,-238588.0209
113330833,AB1,Tracker,0,0,0,0,-202568.1696
113331133,AB2,Variable,0,0,999,1,-63885.0031
113331433,AB1,Tracker,0,1,0,0,-139934.494
113331733,AB1,Tracker,0,1,0,0,-136591.6881
113332033,AB1,Tracker,0,0,0,0,-153817.6021
113332333,AB1,Tracker,0,1,0,0,-139451.9154
113332633,AB1,Variable,0,0,0,0,-153307.2749
113332933,AB2,Variable,0,1,0,0,-164223.5054
113517781,AB2,Tracker,0,0,0,0,-250604.6757
113518081,AB2,Variable,0,0,0,0,-100267.3087
113518381,AB1,Fixed,1,1,0,0,-77293.20171
113518681,AB1,Fixed,0,1,0,0,-74520.12713
113518981,AB1,Fixed,1,1,0,0,-82585.86365
113519281,AB2,Variable,1,1,0,0,-85662.19451
113519581,AB2,Tracker,0,0,0,0,-88111.56391
113519881,AB1,Tracker,0,1,0,0,-187987.1998
113605745,AB1,Tracker,0,0,0,0,-190564.8885
113606045,AB2,Tracker,0,0,0,0,-114044.7371
113606345,AB1,Tracker,0,0,0,0,-842701.7235
113606645,AB1,Tracker,0,0,0,0,-262454.3504
113606945,AB2,Fixed,1,1,0,0,-151964.2288
113607245,AB1,Tracker,0,0,0,0,-294077.7346
113607545,AB1,Fixed,1,1,0,0,-145291.8813
113607845,AB1,Tracker,0,0,0,0,-244148.3412
113698575,AB1,Tracker,0,0,0,0,-206394.5772
113698875,AB1,Variable,0,0,163,1,-159767.7756
113699175,AB2,Tracker,0,0,0,0,-172636.0347
113699475,AB1,Variable,0,0,175,1,-18474.43698
113699775,AB2,Tracker,0,0,0,0,-128696.3277
113700075,AB1,Tracker,0,0,0,0,-47109.27408
113700375,AB1,Tracker,1,1,0,0,-1021564.899
113700675,AB1,Tracker,0,0,0,0,-985265.9989
113711923,AB1,Tracker,0,1,0,0,-67994.84076
113712223,AB1,Tracker,0,0,0,0,-52705.67584
113712523,AB2,Variable,0,0,122,1,-43103.61801
113712823,AB1,Fixed,1,1,13,0,-150717.6086
113713123,AB2,Tracker,0,0,0,0,-1208889.617
113713423,AB1,Variable,0,0,0,0,-63447.44515
113713723,AB1,Variable,0,0,0,0,-183242.9479
113714023,AB1,Tracker,0,0,0,0,-230408.069
113870045,AB1,Tracker,0,0,0,0,-227391.6201
113870345,AB2,Tracker,0,0,0,0,-155116.9503
113870645,AB2,Tracker,0,0,0,0,-173571.851
113870945,AB2,Variable,0,0,3,0,-117293.6418
113871245,AB2,Tracker,0,0,0,0,-42099.02584
113871545,AB1,Tracker,0,0,0,0,-226073.7449
113871845,AB2,Fixed,0,0,0,0,-18885.91073
113872145,AB1,Tracker,0,0,0,0,-358057.2123
114083979,AB1,Variable,0,0,0,0,-267267.9713
114084279,Unknown,Tracker,0,0,0,0,-909558.6262
114084579,AB1,Tracker,0,0,0,0,-239253.5626
114084879,AB1,Tracker,0,0,0,0,-323145.7798
114085179,AB1,Tracker,0,0,0,0,-262242.5096
114085479,AB1,Tracker,0,0,0,0,-288532.7289
114085779,AB1,Tracker,0,0,0,0,-528160.5943
114086079,Staff AB1,Variable,0,1,0,0,-177537.9346
114132525,AB3,Tracker,0,0,0,0,-98987.98465
114132825,AB1,Tracker,0,0,0,0,-372480.6121
114133125,AB2,Tracker,0,0,0,0,-31649.27029
114133425,AB2,Tracker,0,0,0,0,-270254.0894
114133725,Staff AB1,Tracker,0,0,0,0,-219669.8796
114134025,AB1,Tracker,0,0,0,0,-222291.9874
114134325,AB2,Tracker,0,0,0,0,-11903.39896
114823433,AB2,Tracker,0,0,0,0,-42987.20697
114823733,AB2,Tracker,0,0,0,0,-41854.86465
114824033,AB1,Tracker,0,0,0,0,-624406.3651
114824333,AB2,Variable,1,1,27,0,-139852.0984
114824633,AB2,Variable,1,1,0,0,-46753.0173
114824933,AB2,Tracker,0,0,0,0,-31716.24115
114825233,AB1,Tracker,0,0,0,0,-232631.5481
114938303,AB1,Tracker,1,1,0,0,-231418.6565
114938305,AB2,Tracker,0,0,0,0,-72775.7271
114938603,AB1,Tracker,0,0,0,0,-223316.3242
114938605,AB2,Fixed,0,0,0,0,-278024.9583
114938903,AB1,Tracker,1,1,0,0,-230441.2355
114938905,AB2,Tracker,0,1,0,0,-174321.861
114939203,AB1,Tracker,0,0,0,0,-98777.59583
114939205,AB1,Tracker,0,0,0,0,-211664.4788
114939503,AB2,Tracker,0,0,0,0,-25703.20641
114939505,AB1,Tracker,0,1,0,0,-242076.1109
114939803,Staff AB1,Tracker,0,1,0,0,-73255.23752
114939805,Staff AB2,Tracker,0,1,0,0,-127013.4393
114940103,AB1,Variable,0,0,7,0,-70965.29205
114940105,AB2,Tracker,0,0,0,0,-27635.89816
114940403,Staff AB2,Variable,0,0,0,0,-126331.5947
114940405,Staff AB2,Tracker,0,0,0,0,-93779.3499
115254847,AB2,Tracker,0,0,0,0,-155782.1666
115255147,AB1,Fixed,1,1,0,0,-80170.93999
115255447,AB1,Fixed,0,1,0,0,-78636.10779
115255747,AB1,Fixed,1,1,0,0,-78013.59846
115256047,AB2,Fixed,0,0,0,0,-353328.2301
